"","week","w.rank","winner","w.pts","location","l.rank","loser","l.pts"
"424","7","Unranked","Oklahoma State","20","@","Unranked","Kansas","14"
"425","7","10","Oregon State","42","@","Unranked","Brigham Young","24"
"426","7","Unranked","Rice","34","","Unranked","Texas-San Antonio","14"
"427","7","20","Rutgers","23","","Unranked","Syracuse","15"
"428","7","Unranked","San Diego State","38","","Unranked","Colorado State","14"
"429","7","11","Southern California","24","@","Unranked","Washington","14"
"430","7","Unranked","Temple","17","@","Unranked","Connecticut","14"
"431","7","22","Texas A&M","59","@","23","Louisiana Tech","57"
"432","7","Unranked","Texas Christian","49","@","Unranked","Baylor","21"
"433","7","Unranked","Texas State","38","","Unranked","Idaho","7"
"434","7","Unranked","Texas Tech","49","","5","West Virginia","14"
"435","7","Unranked","Toledo","52","@","Unranked","Eastern Michigan","47"
"436","7","Unranked","Tulane","27","","Unranked","Southern Methodist","26"
"437","7","Unranked","UCLA","21","","Unranked","Utah","14"
"438","7","Unranked","Utah State","49","@","Unranked","San Jose State","27"
"439","7","Unranked","Virginia Tech","41","","Unranked","Duke","20"
"440","7","Unranked","Wisconsin","38","@","Unranked","Purdue","14"
"441","8","Unranked","North Texas","30","","Unranked","Louisiana-Lafayette","23"
"442","8","2","Oregon","43","@","Unranked","Arizona State","21"
"443","8","Unranked","Southern Methodist","72","","Unranked","Houston","42"
"444","8","Unranked","Syracuse","40","","Unranked","Connecticut","10"
"445","8","Unranked","Air Force","28","","Unranked","New Mexico","23"
"446","8","1","Alabama","44","@","Unranked","Tennessee","13"
"447","8","Unranked","Arizona","52","","Unranked","Washington","17"
"448","8","Unranked","Ball State","41","@","Unranked","Central Michigan","30"
"449","8","24","Boise State","32","","Unranked","Nevada-Las Vegas","7"
"450","8","Unranked","Bowling Green State","24","@","Unranked","Massachusetts","0"
"451","8","Unranked","Central Florida","35","@","Unranked","Memphis","17"
"452","8","14","Clemson","38","","Unranked","Virginia Tech","17"
"453","8","Unranked","Duke","33","","Unranked","North Carolina","30"
"454","8","Unranked","East Carolina","42","@","Unranked","Alabama-Birmingham","35"
"455","8","Unranked","Eastern Michigan","48","","Unranked","Army","38"
"456","8","3","Florida","44","","9","South Carolina","11"
"457","8","12","Florida State","33","@","Unranked","Miami FL","20"
"458","8","Unranked","Fresno State","42","","Unranked","Wyoming","14"
"459","8","13","Georgia","29","@","Unranked","Kentucky","24"
"460","8","Unranked","Georgia Tech","37","","Unranked","Boston College","17"
"461","8","4","Kansas State","55","@","17","West Virginia","14"
"462","8","Unranked","Kent State","41","","Unranked","Western Michigan","24"
"463","8","6","Louisiana State","24","@","20","Texas A&M","19"
"464","8","Unranked","Louisiana Tech","70","","Unranked","Idaho","28"
"465","8","Unranked","Louisiana-Monroe","43","@","Unranked","Western Kentucky","42"
"466","8","16","Louisville","27","","Unranked","South Florida","25"
"467","8","Unranked","Marshall","59","@","Unranked","Southern Mississippi","24"
"468","8","23","Michigan","12","","Unranked","Michigan State","10"
"469","8","15","Mississippi State","45","","Unranked","Middle Tennessee State","3"
"470","8","Unranked","Navy","31","","Unranked","Indiana","30"
"471","8","Unranked","Nebraska","29","@","Unranked","Northwestern","28"
"472","8","Unranked","North Carolina State","20","@","Unranked","Maryland","18"
"473","8","Unranked","Northern Illinois","37","@","Unranked","Akron","7"
"474","8","5","Notre Dame","17","","Unranked","Brigham Young","14"
"475","8","7","Ohio State","29","","Unranked","Purdue","22"
"476","8","10","Oklahoma","52","","Unranked","Kansas","7"
"477","8","Unranked","Oklahoma State","31","","Unranked","Iowa State","10"
"478","8","8","Oregon State","21","","Unranked","Utah","7"
"479","8","Unranked","Penn State","38","@","Unranked","Iowa","14"
"480","8","Unranked","Pittsburgh","20","@","Unranked","Buffalo","6"
"481","8","19","Rutgers","35","@","Unranked","Temple","10"
"482","8","Unranked","San Diego State","39","@","Unranked","Nevada","38"
"483","8","Unranked","San Jose State","52","@","Unranked","Texas-San Antonio","24"
"484","8","Unranked","South Alabama","37","","Unranked","Florida Atlantic","34"
"485","8","11","Southern California","50","","Unranked","Colorado","6"
"486","8","22","Stanford","21","@","Unranked","California","3"
"487","8","Unranked","Texas","56","","Unranked","Baylor","50"
"488","8","18","Texas Tech","56","@","Unranked","Texas Christian","53"
"489","8","Unranked","Texas-El Paso","24","","Unranked","Tulane","20"
"490","8","Unranked","Toledo","29","","21","Cincinnati","23"
"491","8","Unranked","Troy","38","","Unranked","Florida International","37"
"492","8","Unranked","Tulsa","28","","Unranked","Rice","24"
"493","8","Unranked","Utah State","41","","Unranked","New Mexico State","7"
"494","8","Unranked","Vanderbilt","17","","Unranked","Auburn","13"
"495","8","Unranked","Wake Forest","16","@","Unranked","Virginia","10"
"496","8","Unranked","Wisconsin","38","","Unranked","Minnesota","13"
"497","9","Unranked","Arkansas State","50","@","Unranked","Louisiana-Lafayette","27"
"498","9","14","Clemson","42","@","Unranked","Wake Forest","13"
"499","9","Unranked","Air Force","48","","Unranked","Nevada","31"
"500","9","16","Louisville","34","","Unranked","Cincinnati","31"
"501","9","1","Alabama","38","","13","Mississippi State","7"
"502","9","Unranked","Arizona","39","","10","Southern California","36"
"503","9","Unranked","Ball State","30","@","Unranked","Army","22"
"504","9","21","Boise State","45","@","Unranked","Wyoming","14"
"505","9","Unranked","Boston College","20","","Unranked","Maryland","17"
"506","9","Unranked","Bowling Green State","24","","Unranked","Eastern Michigan","3"
"507","9","Unranked","Brigham Young","41","@","Unranked","Georgia Tech","17"
"508","9","Unranked","Central Florida","54","@","Unranked","Marshall","17"
"509","9","Unranked","Central Michigan","35","","Unranked","Akron","14"
"510","9","Unranked","Colorado State","42","","Unranked","Hawaii","27"
"511","9","Unranked","Florida Atlantic","34","","Unranked","Troy","27"
"512","9","11","Florida State","48","","Unranked","Duke","7"
"513","9","Unranked","Fresno State","49","@","Unranked","New Mexico","32"
"514","9","12","Georgia","17","","3","Florida","9"
"515","9","Unranked","Houston","45","","Unranked","Texas-El Paso","35"
"516","9","Unranked","Indiana","31","@","Unranked","Illinois","17"
"517","9","Unranked","Iowa State","35","","Unranked","Baylor","21"
"518","9","4","Kansas State","55","","15","Texas Tech","24"
"519","9","Unranked","Kent State","35","@","18","Rutgers","23"
"520","9","24","Louisiana Tech","28","@","Unranked","New Mexico State","14"
"521","9","Unranked","Louisiana-Monroe","38","","Unranked","South Alabama","24"
"522","9","Unranked","Miami OH","23","","23","Ohio","20"
"523","9","Unranked","Michigan State","16","@","Unranked","Wisconsin","13"
"524","9","Unranked","Middle Tennessee State","38","","Unranked","North Texas","21"
"525","9","Unranked","Minnesota","44","","Unranked","Purdue","28"
"526","9","Unranked","Mississippi","30","@","Unranked","Arkansas","27"
"527","9","Unranked","Missouri","33","","Unranked","Kentucky","10"
"528","9","Unranked","Navy","56","@","Unranked","East Carolina","28"
"529","9","Unranked","Nebraska","23","","20","Michigan","9"
"530","9","Unranked","North Carolina","43","","Unranked","North Carolina State","35"
"531","9","Unranked","Northern Illinois","48","@","Unranked","Western Michigan","34"
"532","9","Unranked","Northwestern","28","","Unranked","Iowa","17"
"533","9","5","Notre Dame","30","@","8","Oklahoma","13"
"534","9","9","Ohio State","35","@","Unranked","Penn State","23"
"535","9","Unranked","Oklahoma State","36","","Unranked","Texas Christian","14"
"536","9","2","Oregon","70","","Unranked","Colorado","14"
"537","9","Unranked","Pittsburgh","47","","Unranked","Temple","17"
"538","9","Unranked","Rice","44","","Unranked","Southern Mississippi","17"
"539","9","Unranked","San Diego State","24","","Unranked","Nevada-Las Vegas","13"
"540","9","Unranked","San Jose State","31","","Unranked","Texas State","20"
"541","9","17","South Carolina","38","","Unranked","Tennessee","35"
"542","9","Unranked","Southern Methodist","44","","Unranked","Memphis","13"
"543","9","19","Stanford","24","","Unranked","Washington State","17"
"544","9","Unranked","Syracuse","37","@","Unranked","South Florida","36"
"545","9","Unranked","Texas","21","@","Unranked","Kansas","17"
"546","9","22","Texas A&M","63","@","Unranked","Auburn","21"
"547","9","Unranked","Toledo","25","@","Unranked","Buffalo","20"
"548","9","Unranked","Tulane","55","","Unranked","Alabama-Birmingham","45"
"549","9","Unranked","UCLA","45","@","Unranked","Arizona State","43"
"550","9","Unranked","Utah","49","","Unranked","California","27"
"551","9","Unranked","Utah State","48","@","Unranked","Texas-San Antonio","17"
"552","9","Unranked","Vanderbilt","49","","Unranked","Massachusetts","7"
"553","9","Unranked","Washington","20","","7","Oregon State","17"
"554","9","Unranked","Western Kentucky","14","@","Unranked","Florida International","6"
"555","10","Unranked","Miami FL","30","","Unranked","Virginia Tech","12"
"556","10","Unranked","Middle Tennessee State","34","@","Unranked","Western Kentucky","29"
"557","10","Unranked","Ohio","45","","Unranked","Eastern Michigan","14"
"558","10","Unranked","Washington","21","@","Unranked","California","13"
"559","10","1","Alabama","21","@","5","Louisiana State","17"
"560","10","Unranked","Alabama-Birmingham","27","@","Unranked","Southern Mississippi","19"
"561","10","Unranked","Arkansas","19","","Unranked","Tulsa","15"
"562","10","Unranked","Arkansas State","37","@","Unranked","North Texas","19"
"563","10","Unranked","Army","41","","Unranked","Air Force","21"
"564","10","Unranked","Auburn","42","","Unranked","New Mexico State","7"
"565","10","Unranked","Baylor","41","","Unranked","Kansas","14"
"566","10","Unranked","Buffalo","27","","Unranked","Miami OH","24"
"567","10","Unranked","Central Florida","42","","Unranked","Southern Methodist","17"
"568","10","Unranked","Cincinnati","35","","Unranked","Syracuse","24"
"569","10","10","Clemson","56","@","Unranked","Duke","20"
"570","10","Unranked","East Carolina","48","","Unranked","Houston","28"
"571","10","8","Florida","14","","Unranked","Missouri","7"
"572","10","Unranked","Florida International","28","@","Unranked","South Alabama","20"
"573","10","Unranked","Fresno State","45","","Unranked","Hawaii","10"
"574","10","7","Georgia","37","","Unranked","Mississippi","10"
"575","10","Unranked","Georgia Tech","33","@","Unranked","Maryland","13"
"576","10","Unranked","Indiana","24","","Unranked","Iowa","21"
"577","10","3","Kansas State","44","","Unranked","Oklahoma State","30"
"578","10","Unranked","Kent State","35","","Unranked","Akron","24"
"579","10","22","Louisiana Tech","51","","Unranked","Texas-San Antonio","27"
"580","10","Unranked","Louisiana-Lafayette","40","@","Unranked","Louisiana-Monroe","24"
"581","10","12","Louisville","45","","Unranked","Temple","17"
"582","10","Unranked","Marshall","38","","Unranked","Memphis","28"
"583","10","Unranked","Michigan","35","@","Unranked","Minnesota","13"
"584","10","Unranked","Navy","24","","Unranked","Florida Atlantic","17"
"585","10","21","Nebraska","28","@","Unranked","Michigan State","24"
"586","10","Unranked","Nevada-Las Vegas","35","","Unranked","New Mexico","7"
"587","10","Unranked","Northern Illinois","63","","Unranked","Massachusetts","0"
"588","10","4","Notre Dame","29","","Unranked","Pittsburgh","26"
"589","10","6","Ohio State","52","","Unranked","Illinois","22"
"590","10","14","Oklahoma","35","@","Unranked","Iowa State","20"
"591","10","2","Oregon","62","@","18","Southern California","51"
"592","10","13","Oregon State","36","","Unranked","Arizona State","26"
"593","10","Unranked","Penn State","34","@","Unranked","Purdue","9"
"594","10","Unranked","Rice","49","@","Unranked","Tulane","47"
"595","10","Unranked","San Diego State","21","@","19","Boise State","19"
"596","10","Unranked","San Jose State","42","@","Unranked","Idaho","13"
"597","10","Unranked","South Florida","13","","Unranked","Connecticut","6"
"598","10","15","Stanford","48","@","Unranked","Colorado","0"
"599","10","Unranked","Tennessee","55","","Unranked","Troy","48"
"600","10","Unranked","Texas","31","@","20","Texas Tech","22"
"601","10","16","Texas A&M","38","@","17","Mississippi State","13"
"602","10","Unranked","Texas Christian","39","@","23","West Virginia","38"
"603","10","25","UCLA","66","","24","Arizona","10"
"604","10","Unranked","Utah","49","","Unranked","Washington State","6"
"605","10","Unranked","Utah State","38","","Unranked","Texas State","7"
"606","10","Unranked","Vanderbilt","40","@","Unranked","Kentucky","0"
"607","10","Unranked","Virginia","33","@","Unranked","North Carolina State","6"
"608","10","Unranked","Wake Forest","28","","Unranked","Boston College","14"
"609","10","Unranked","Western Michigan","42","@","Unranked","Central Michigan","31"
"610","10","Unranked","Wyoming","45","","Unranked","Colorado State","31"
"611","11","Unranked","Ball State","34","@","23","Toledo","27"
"612","11","Unranked","Bowling Green State","26","@","Unranked","Ohio","14"
"613","11","Unranked","Arkansas State","45","","Unranked","Louisiana-Monroe","23"
"614","11","8","Florida State","28","@","Unranked","Virginia Tech","22"
"615","11","Unranked","Connecticut","24","","Unranked","Pittsburgh","17"
"616","11","Unranked","Alabama-Birmingham","38","","Unranked","Marshall","31"
"617","11","Unranked","Arizona","56","","Unranked","Colorado","31"
"618","11","Unranked","Boise State","49","@","Unranked","Hawaii","14"
"619","11","Unranked","Brigham Young","52","","Unranked","Idaho","13"
"620","11","Unranked","Buffalo","29","","Unranked","Western Michigan","24"
"621","11","Unranked","Central Florida","31","@","Unranked","Texas-El Paso","24"
"622","11","Unranked","Central Michigan","34","@","Unranked","Eastern Michigan","31"
"623","11","Unranked","Cincinnati","34","@","Unranked","Temple","10"
"624","11","10","Clemson","45","","Unranked","Maryland","10"
"625","11","Unranked","Colorado State","33","","Unranked","Nevada-Las Vegas","11"
"626","11","7","Florida","27","","Unranked","Louisiana-Lafayette","20"
"627","11","Unranked","Florida Atlantic","37","@","Unranked","Western Kentucky","28"
"628","11","Unranked","Fresno State","52","@","Unranked","Nevada","36"
"629","11","5","Georgia","38","@","Unranked","Auburn","0"
"630","11","Unranked","Georgia Tech","68","@","Unranked","North Carolina","50"
"631","11","3","Kansas State","23","@","Unranked","Texas Christian","10"
"632","11","Unranked","Kent State","48","@","Unranked","Miami OH","32"
"633","11","9","Louisiana State","37","","22","Mississippi State","17"
"634","11","19","Louisiana Tech","62","@","Unranked","Texas State","55"
"635","11","Unranked","Massachusetts","22","@","Unranked","Akron","14"
"636","11","Unranked","Memphis","37","","Unranked","Tulane","23"
"637","11","Unranked","Michigan","38","","Unranked","Northwestern","31"
"638","11","Unranked","Minnesota","17","@","Unranked","Illinois","3"
"639","11","Unranked","Missouri","51","@","Unranked","Tennessee","48"
"640","11","18","Nebraska","32","","Unranked","Penn State","23"
"641","11","Unranked","North Carolina State","37","","Unranked","Wake Forest","6"
"642","11","Unranked","North Texas","24","","Unranked","South Alabama","14"
"643","11","4","Notre Dame","21","@","Unranked","Boston College","6"
"644","11","14","Oklahoma","42","","Unranked","Baylor","34"
"645","11","Unranked","Oklahoma State","55","","Unranked","West Virginia","34"
"646","11","2","Oregon","59","@","Unranked","California","17"
"647","11","Unranked","Purdue","27","@","Unranked","Iowa","24"
"648","11","24","Rutgers","28","","Unranked","Army","7"
"649","11","Unranked","San Diego State","28","","Unranked","Air Force","9"
"650","11","Unranked","San Jose State","47","@","Unranked","New Mexico State","7"
"651","11","12","South Carolina","38","","Unranked","Arkansas","20"
"652","11","21","Southern California","38","","Unranked","Arizona State","17"
"653","11","Unranked","Southern Methodist","34","","Unranked","Southern Mississippi","6"
"654","11","16","Stanford","27","","13","Oregon State","23"
"655","11","Unranked","Syracuse","45","","11","Louisville","26"
"656","11","19","Texas","33","","Unranked","Iowa State","7"
"657","11","15","Texas A&M","29","@","1","Alabama","24"
"658","11","25","Texas Tech","41","","Unranked","Kansas","34"
"659","11","Unranked","Texas-San Antonio","31","","Unranked","McNeese State","24"
"660","11","Unranked","Troy","41","","Unranked","Navy","31"
"661","11","Unranked","Tulsa","41","@","Unranked","Houston","7"
"662","11","17","UCLA","44","@","Unranked","Washington State","36"
"663","11","Unranked","Vanderbilt","27","@","Unranked","Mississippi","26"
"664","11","Unranked","Virginia","41","","Unranked","Miami FL","40"
"665","11","Unranked","Washington","34","","Unranked","Utah","15"
"666","11","Unranked","Wisconsin","62","@","Unranked","Indiana","14"
"667","11","Unranked","Wyoming","28","@","Unranked","New Mexico","23"
"668","12","Unranked","Ball State","52","","Unranked","Ohio","27"
"669","12","Unranked","Northern Illinois","31","","Unranked","Toledo","24"
"670","12","Unranked","North Carolina","37","@","Unranked","Virginia","13"
"671","12","Unranked","Air Force","21","","Unranked","Hawaii","7"
"672","12","Unranked","Florida International","34","@","Unranked","Florida Atlantic","24"
"673","12","4","Alabama","49","","Unranked","Western Carolina","0"
"674","12","Unranked","Arizona","34","@","Unranked","Utah","24"
"675","12","Unranked","Arizona State","46","","Unranked","Washington State","7"
"676","12","Unranked","Arkansas State","41","@","Unranked","Troy","34"
"677","12","Unranked","Auburn","51","","Unranked","Alabama A&M","7"
"678","12","Unranked","Baylor","52","","2","Kansas State","24"
"679","12","Unranked","Boise State","42","","Unranked","Colorado State","14"
"680","12","Unranked","Buffalo","29","@","Unranked","Massachusetts","19"
"681","12","Unranked","Central Michigan","30","","Unranked","Miami OH","16"
"682","12","11","Clemson","62","","Unranked","North Carolina State","48"
"683","12","Unranked","East Carolina","28","@","Unranked","Tulane","23"
"684","12","Unranked","Eastern Michigan","29","@","Unranked","Western Michigan","23"
"685","12","7","Florida","23","","Unranked","Jacksonville State","0"
"686","12","10","Florida State","41","@","Unranked","Maryland","14"
"687","12","5","Georgia","45","","Unranked","Georgia Southern","14"
"688","12","Unranked","Georgia Tech","42","","Unranked","Duke","24"
"689","12","Unranked","Iowa State","51","@","Unranked","Kansas","23"
"690","12","25","Kent State","31","@","Unranked","Bowling Green State","24"
"691","12","Unranked","Kentucky","34","","Unranked","Samford","3"
"692","12","8","Louisiana State","41","","Unranked","Mississippi","35"
"693","12","Unranked","Louisiana-Lafayette","31","","Unranked","Western Kentucky","27"
"694","12","Unranked","Louisiana-Monroe","42","","Unranked","North Texas","16"
"695","12","Unranked","Marshall","44","","Unranked","Houston","41"
"696","12","Unranked","Memphis","46","@","Unranked","Alabama-Birmingham","9"
"697","12","Unranked","Miami FL","40","","Unranked","South Florida","9"
"698","12","23","Michigan","42","","Unranked","Iowa","17"
"699","12","Unranked","Middle Tennessee State","20","@","Unranked","South Alabama","12"
"700","12","Unranked","Mississippi State","45","","Unranked","Arkansas","14"
"701","12","Unranked","Navy","21","","Unranked","Texas State","10"
"702","12","16","Nebraska","38","","Unranked","Minnesota","14"
"703","12","Unranked","Nevada","31","@","Unranked","New Mexico","24"
"704","12","Unranked","Northwestern","23","@","Unranked","Michigan State","20"
"705","12","3","Notre Dame","38","","Unranked","Wake Forest","0"
"706","12","6","Ohio State","21","@","Unranked","Wisconsin","14"
"707","12","13","Oklahoma","50","@","Unranked","West Virginia","49"
"708","12","Unranked","Oklahoma State","59","","23","Texas Tech","21"
"709","12","15","Oregon State","62","","Unranked","California","14"
"710","12","Unranked","Penn State","45","","Unranked","Indiana","22"
"711","12","Unranked","Purdue","20","@","Unranked","Illinois","17"
"712","12","Unranked","Rice","36","","Unranked","Southern Methodist","20"
"713","12","22","Rutgers","10","@","Unranked","Cincinnati","3"
"714","12","Unranked","San Jose State","20","","Unranked","Brigham Young","14"
"715","12","12","South Carolina","24","","Unranked","Wofford","7"
"716","12","14","Stanford","17","@","1","Oregon","14"
"717","12","Unranked","Syracuse","31","@","Unranked","Missouri","27"
"718","12","Unranked","Temple","63","@","Unranked","Army","32"
"719","12","9","Texas A&M","47","","Unranked","Sam Houston State","28"
"720","12","Unranked","Texas-El Paso","34","@","Unranked","Southern Mississippi","33"
"721","12","Unranked","Texas-San Antonio","34","@","Unranked","Idaho","27"
"722","12","Unranked","Tulsa","23","","Unranked","Central Florida","21"
"723","12","17","UCLA","38","","21","Southern California","28"
"724","12","Unranked","Utah State","48","@","19","Louisiana Tech","41"
"725","12","Unranked","Vanderbilt","41","","Unranked","Tennessee","18"
"726","12","Unranked","Virginia Tech","30","@","Unranked","Boston College","23"
"727","12","Unranked","Washington","38","@","Unranked","Colorado","3"
"728","12","Unranked","Wyoming","28","@","Unranked","Nevada-Las Vegas","23"
"729","13","Unranked","Toledo","35","","Unranked","Akron","23"
"730","13","Unranked","Texas Christian","20","@","18","Texas","13"
"731","13","Unranked","Arizona State","41","@","Unranked","Arizona","34"
"732","13","Unranked","Ball State","31","@","Unranked","Miami OH","24"
"733","13","Unranked","Bowling Green State","21","","Unranked","Buffalo","7"
"734","13","Unranked","Central Michigan","42","@","Unranked","Massachusetts","21"
"735","13","Unranked","Cincinnati","27","","Unranked","South Florida","10"
"736","13","Unranked","East Carolina","65","","Unranked","Marshall","59"
"737","13","23","Kent State","28","","Unranked","Ohio","6"
"738","13","8","Louisiana State","20","@","Unranked","Arkansas","13"
"739","13","17","Nebraska","13","@","Unranked","Iowa","7"
"740","13","24","Northern Illinois","49","@","Unranked","Eastern Michigan","7"
"741","13","Unranked","Syracuse","38","@","Unranked","Temple","20"
"742","13","Unranked","Utah","42","@","Unranked","Colorado","35"
"743","13","Unranked","Washington State","31","","Unranked","Washington","28"
"744","13","Unranked","West Virginia","31","@","Unranked","Iowa State","24"
"745","13","2","Alabama","49","","Unranked","Auburn","0"
"746","13","Unranked","Baylor","52","","Unranked","Texas Tech","45"
"747","13","Unranked","Brigham Young","50","@","Unranked","New Mexico State","14"
"748","13","Unranked","Central Florida","49","","Unranked","Alabama-Birmingham","24"
"749","13","Unranked","Colorado State","24","","Unranked","New Mexico","20"
"750","13","Unranked","Connecticut","23","@","19","Louisville","20"
"751","13","6","Florida","37","@","10","Florida State","26"
"752","13","Unranked","Fresno State","48","","Unranked","Air Force","15"
"753","13","3","Georgia","42","","Unranked","Georgia Tech","10"
"754","13","Unranked","Hawaii","48","","Unranked","Nevada-Las Vegas","10"
"755","13","Unranked","Houston","40","","Unranked","Tulane","17"
"756","13","Unranked","Louisiana-Lafayette","52","","Unranked","South Alabama","30"
"757","13","Unranked","Louisiana-Monroe","23","@","Unranked","Florida International","17"
"758","13","Unranked","Memphis","42","","Unranked","Southern Mississippi","24"
"759","13","Unranked","Miami FL","52","@","Unranked","Duke","45"
"760","13","Unranked","Michigan State","26","@","Unranked","Minnesota","10"
"761","13","Unranked","Middle Tennessee State","24","","Unranked","Troy","21"
"762","13","Unranked","Mississippi","41","","25","Mississippi State","24"
"763","13","Unranked","North Carolina","45","","Unranked","Maryland","38"
"764","13","Unranked","North Carolina State","27","","Unranked","Boston College","10"
"765","13","Unranked","Northwestern","50","","Unranked","Illinois","14"
"766","13","1","Notre Dame","22","@","Unranked","Southern California","13"
"767","13","4","Ohio State","26","","20","Michigan","21"
"768","13","14","Oklahoma","51","","22","Oklahoma State","48"
"769","13","5","Oregon","48","@","16","Oregon State","24"
"770","13","Unranked","Penn State","24","","Unranked","Wisconsin","21"
"771","13","Unranked","Pittsburgh","27","","21","Rutgers","6"
"772","13","Unranked","Purdue","56","","Unranked","Indiana","35"
"773","13","Unranked","Rice","33","@","Unranked","Texas-El Paso","24"
"774","13","Unranked","San Diego State","42","@","Unranked","Wyoming","28"
"775","13","Unranked","San Jose State","52","","Unranked","Louisiana Tech","43"
"776","13","13","South Carolina","27","@","12","Clemson","17"
"777","13","Unranked","Southern Methodist","35","","Unranked","Tulsa","27"
"778","13","11","Stanford","35","@","15","UCLA","17"
"779","13","Unranked","Tennessee","37","","Unranked","Kentucky","17"
"780","13","9","Texas A&M","59","","Unranked","Missouri","29"
"781","13","Unranked","Texas-San Antonio","38","","Unranked","Texas State","31"
"782","13","25","Utah State","45","","Unranked","Idaho","9"
"783","13","Unranked","Vanderbilt","55","@","Unranked","Wake Forest","21"
"784","13","Unranked","Virginia Tech","17","","Unranked","Virginia","14"
"785","13","Unranked","Western Kentucky","25","","Unranked","North Texas","24"
"786","14","Unranked","Louisville","20","@","Unranked","Rutgers","17"
"787","14","19","Northern Illinois","44","","18","Kent State","37"
"788","14","8","Stanford","27","","17","UCLA","24"
"789","14","2","Alabama","32","","3","Georgia","28"
"790","14","Unranked","Arkansas State","45","","Unranked","Middle Tennessee State","0"
"791","14","Unranked","Baylor","41","","24","Oklahoma State","34"
"792","14","25","Boise State","27","@","Unranked","Nevada","21"
"793","14","Unranked","Cincinnati","34","@","Unranked","Connecticut","17"
"794","14","13","Florida State","21","","Unranked","Georgia Tech","15"
"795","14","Unranked","Hawaii","23","","Unranked","South Alabama","7"
"796","14","7","Kansas State","42","","23","Texas","24"
"797","14","Unranked","Louisiana-Lafayette","35","@","Unranked","Florida Atlantic","21"
"798","14","12","Oklahoma","24","@","Unranked","Texas Christian","17"
"799","14","16","Oregon State","77","","Unranked","Nicholls State","3"
"800","14","Unranked","Pittsburgh","27","@","Unranked","South Florida","3"
"801","14","Unranked","Texas State","66","","Unranked","New Mexico State","28"
"802","14","Unranked","Tulsa","33","","Unranked","Central Florida","27"
"803","14","Unranked","West Virginia","59","","Unranked","Kansas","10"
"804","14","Unranked","Wisconsin","70","","14","Nebraska","31"
"805","15","Unranked","Navy","17","","Unranked","Army","13"
"806","16","Unranked","Arizona","49","","Unranked","Nevada","48"
"807","16","18","Utah State","41","","Unranked","Toledo","15"
"808","17","Unranked","Brigham Young","23","@","Unranked","San Diego State","6"
"809","17","Unranked","Central Florida","38","","Unranked","Ball State","17"
"810","17","20","Boise State","28","","Unranked","Washington","26"
"811","17","Unranked","Louisiana-Lafayette","43","","Unranked","East Carolina","34"
"812","17","Unranked","Southern Methodist","43","","Unranked","Fresno State","10"
"813","18","Unranked","Central Michigan","24","","Unranked","Western Kentucky","21"
"814","18","Unranked","Baylor","49","","17","UCLA","26"
"815","18","Unranked","Cincinnati","48","","Unranked","Duke","34"
"816","18","24","San Jose State","29","","Unranked","Bowling Green State","20"
"817","18","Unranked","Ohio","45","","Unranked","Louisiana-Monroe","14"
"818","18","Unranked","Texas Tech","34","","Unranked","Minnesota","31"
"819","18","Unranked","Virginia Tech","13","","Unranked","Rutgers","10"
"820","18","Unranked","Arizona State","62","","Unranked","Navy","28"
"821","18","Unranked","Michigan State","17","","Unranked","Texas Christian","16"
"822","18","Unranked","Rice","33","","Unranked","Air Force","14"
"823","18","Unranked","Syracuse","38","","Unranked","West Virginia","14"
"824","18","Unranked","Texas","31","","15","Oregon State","27"
"825","19","14","Clemson","25","","9","Louisiana State","24"
"826","19","Unranked","Georgia Tech","21","","Unranked","Southern California","7"
"827","19","Unranked","Tulsa","31","","Unranked","Iowa State","17"
"828","19","Unranked","Vanderbilt","38","","Unranked","North Carolina State","24"
"829","20","13","Florida State","31","","16","Northern Illinois","10"
"830","20","6","Georgia","45","","23","Nebraska","31"
"831","20","21","Northwestern","34","","Unranked","Mississippi State","20"
"832","20","Unranked","Oklahoma State","58","","Unranked","Purdue","14"
"833","20","11","South Carolina","33","","19","Michigan","28"
"834","20","8","Stanford","20","","Unranked","Wisconsin","14"
"835","20","22","Louisville","33","","4","Florida","23"
"836","20","5","Oregon","35","","7","Kansas State","17"
"837","20","10","Texas A&M","41","","12","Oklahoma","13"
"838","20","Unranked","Mississippi","38","","Unranked","Pittsburgh","17"
"839","20","Unranked","Arkansas State","17","","25","Kent State","13"
"840","20","2","Alabama","42","","1","Notre Dame","14"
