"","week","w.rank","winner","w.pts","location","l.rank","loser","l.pts"
"98","2","Unranked","Kentucky","47","","Unranked","Kent State","14"
"99","2","3","Louisiana State","41","","Unranked","Washington","3"
"100","2","Unranked","Louisiana Tech","56","@","Unranked","Houston","49"
"101","2","Unranked","Louisiana-Lafayette","37","@","Unranked","Troy","24"
"102","2","Unranked","Louisiana-Monroe","34","@","8","Arkansas","31"
"103","2","23","Louisville","35","","Unranked","Missouri State","7"
"104","2","Unranked","Marshall","52","","Unranked","Western Carolina","24"
"105","2","Unranked","Maryland","36","@","Unranked","Temple","27"
"106","2","Unranked","Miami OH","30","","Unranked","Southern Illinois","14"
"107","2","19","Michigan","31","","Unranked","Air Force","25"
"108","2","11","Michigan State","41","@","Unranked","Central Michigan","7"
"109","2","Unranked","Middle Tennessee State","31","","Unranked","Florida Atlantic","17"
"110","2","Unranked","Minnesota","44","","Unranked","New Hampshire","7"
"111","2","Unranked","Mississippi","28","","Unranked","Texas-El Paso","10"
"112","2","Unranked","Mississippi State","28","","Unranked","Auburn","10"
"113","2","Unranked","North Carolina State","10","@","Unranked","Connecticut","7"
"114","2","Unranked","North Dakota State","22","@","Unranked","Colorado State","7"
"115","2","Unranked","North Texas","34","","Unranked","Texas Southern","7"
"116","2","Unranked","Northern Arizona","17","@","Unranked","Nevada-Las Vegas","14"
"117","2","Unranked","Northern Illinois","35","","Unranked","Tennessee-Martin","7"
"118","2","Unranked","Northwestern","23","","Unranked","Vanderbilt","13"
"119","2","22","Notre Dame","20","","Unranked","Purdue","17"
"120","2","Unranked","Ohio","51","","Unranked","New Mexico State","24"
"121","2","14","Ohio State","31","","Unranked","Central Florida","16"
"122","2","5","Oklahoma","69","","Unranked","Florida A&M","13"
"123","2","4","Oregon","42","","Unranked","Fresno State","25"
"124","2","Unranked","Oregon State","10","","13","Wisconsin","7"
"125","2","Unranked","Rice","25","@","Unranked","Kansas","24"
"126","2","Unranked","Rutgers","26","","Unranked","Howard","0"
"127","2","Unranked","Sacramento State","30","@","Unranked","Colorado","28"
"128","2","Unranked","San Diego State","42","","Unranked","Army","7"
"129","2","Unranked","San Jose State","45","","Unranked","California-Davis","13"
