"","game.id","w.id","l.id","week","w.conference","w.abbrvs","w.rank","w.name","w.pts","location","l.pts","l.name","l.rank","l.abbrvs","l.conference"
"708",54,54,119,1,"Big 12","OU",4,"Oklahoma",24,"@",7,"Texas-El Paso",26,"UT-EP","Conference USA"
"593",55,55,156,1,"Big 12","OKST",19,"Oklahoma State",84,"",0,"Savannah State",26,"SAVST","FCS"
"51",56,56,78,1,"Pac-12","ORE",5,"Oregon",57,"",34,"Arkansas State",26,"ARKST","Sun Belt"
"184",57,57,157,1,"Big Ten","PUR",26,"Purdue",48,"",6,"Eastern Kentucky",26,"EKU","FCS"
"735",58,58,131,1,"Big East","RUT",26,"Rutgers",24,"@",12,"Tulane",26,"TULA","Conference USA"
"136",59,59,158,1,"Big East","SFU",26,"South Florida",34,"",13,"Chattanooga",26,"CHATT","FCS"
"242",60,60,114,1,"Pac-12","USC",1,"Southern California",49,"",10,"Hawaii",26,"HAW","Mountain West"
"389",61,61,130,1,"FCS","TNMT",26,"Tennessee-Martin",20,"@",17,"Memphis",26,"MEM","Conference USA"
"833",62,62,124,1,"Big 12","TEX",15,"Texas",37,"",17,"Wyoming",26,"WYO","Mountain West"
"249",63,63,125,1,"Western Athletic","TEXST",26,"Texas State",30,"@",13,"Houston",26,"HOU","Conference USA"
"530",64,64,159,1,"Big 12","TTU",26,"Texas Tech",44,"",6,"Northwestern State",26,"NWST","FCS"
"600",65,65,103,1,"Western Athletic","UTSA",26,"Texas-San Antonio",33,"@",31,"South Alabama",26,"SOBAMA","Sun Belt"
"28",66,66,127,1,"Sun Belt","TROY",26,"Troy",39,"@",29,"Alabama-Birmingham",26,"UAB","Conference USA"
"577",67,67,160,1,"Atlantic Coast","UVA",26,"Virginia",43,"",19,"Richmond",26,"RICH","FCS"
"336",68,68,161,1,"Atlantic Coast","WAKE",26,"Wake Forest",20,"",17,"Liberty",26,"LIB","FCS"
"586",69,69,101,1,"Pac-12","WASH",26,"Washington",21,"",12,"San Diego State",26,"SDSU","Mountain West"
"358",70,70,89,1,"Big 12","WV",11,"West Virginia",69,"",34,"Marshall",26,"MAR ","Conference USA"
"73",71,71,162,1,"Sun Belt","WKU",26,"Western Kentucky",49,"",10,"Austin Peay",26,"PEAY","FCS"
"523",72,72,163,1,"Big Ten","WIS",12,"Wisconsin",26,"",21,"Northern Iowa",26,"UNI","FCS"
"556",73,73,116,1,"FCS","YST",26,"Youngstown State",31,"@",17,"Pittsburgh",26,"PITT","Big East"
"631",74,74,104,1,"Big 12","BAY",26,"Baylor",59,"",24,"Southern Methodist",26,"SMU","Conference USA"
"327",75,75,86,1,"Big East","LOU",23,"Louisville",32,"",14,"Kentucky",26,"UK","Southeastern"
"237",76,76,84,1,"Atlantic Coast","VT",15,"Virginia Tech",20,"",17,"Georgia Tech",26,"GT","Atlantic Coast"
"558",77,77,116,2,"Big East","CIN",26,"Cincinnati",34,"",10,"Pittsburgh",26,"PITT","Big East"
"749",78,15,14,2,"Western Athletic","UTST",26,"Utah State",27,"",20,"Utah",26,"UTAH","Pac-12"
"814",79,22,71,2,"Southeastern","BAMA",1,"Alabama",35,"",0,"Western Kentucky",26,"WKU","Sun Belt"
"543",80,23,55,2,"Pac-12","ARI",26,"Arizona",59,"",38,"Oklahoma State",18,"OKST","Big 12"
"275",81,1,33,2,"Pac-12","ASU",26,"Arizona State",45,"",14,"Illinois",26,"IL","Big Ten"
"382",82,78,130,2,"Sun Belt","ARKST",26,"Arkansas State",33,"",28,"Memphis",26,"MEM","Conference USA"
