"","game.id","week","w.id","w.conference","w.name","w.abbrvs","w.rank","w.pts","location","l.pts","l.rank","l.abbrvs","l.name","l.conference","l.id"
"184",57,1,136,"Big Ten","Purdue","PUR",26,48,"",6,26,"EKU","Eastern Kentucky","FCS",42
"734",58,1,140,"Big East","Rutgers","RUT",26,24,"@",12,26,"TULA","Tulane","Conference USA",181
"136",59,1,152,"Big East","South Florida","SFU",26,34,"",13,26,"CHATT","Chattanooga","FCS",30
"248",60,1,156,"Pac-12","Southern California","USC",1,49,"",10,26,"HAW","Hawaii","Mountain West",60
"383",61,1,168,"FCS","Tennessee-Martin","TNMT",26,20,"@",17,26,"MEM","Memphis","Conference USA",90
"836",62,1,169,"Big 12","Texas","TEX",15,37,"",17,26,"WYO","Wyoming","Mountain West",204
"252",63,1,174,"Western Athletic","Texas State","TEXST",26,30,"@",13,26,"HOU","Houston","Conference USA",61
"529",64,1,175,"Big 12","Texas Tech","TTU",26,44,"",6,26,"NWST","Northwestern State","FCS",124
"599",65,1,177,"Western Athletic","Texas-San Antonio","UTSA",26,33,"@",31,26,"SOBAMA","South Alabama","Sun Belt",147
"25",66,1,180,"Sun Belt","Troy","TROY",26,39,"@",29,26,"UAB","Alabama-Birmingham","Conference USA",5
"577",67,1,188,"Atlantic Coast","Virginia","UVA",26,43,"",19,26,"RICH","Richmond","FCS",139
"336",68,1,192,"Atlantic Coast","Wake Forest","WAKE",26,20,"",17,26,"LIB","Liberty","FCS",79
"587",69,1,193,"Pac-12","Washington","WASH",26,21,"",12,26,"SDSU","San Diego State","Mountain West",144
"360",70,1,196,"Big 12","West Virginia","WV",11,69,"",34,26,"MAR ","Marshall","Conference USA",86
"73",71,1,199,"Sun Belt","Western Kentucky","WKU",26,49,"",10,26,"PEAY","Austin Peay","FCS",14
"524",72,1,202,"Big Ten","Wisconsin","WIS",12,26,"",21,26,"UNI","Northern Iowa","FCS",121
"555",73,1,205,"FCS","Youngstown State","YST",26,31,"@",17,26,"PITT","Pittsburgh","Big East",133
"635",74,1,16,"Big 12","Baylor","BAY",26,59,"",24,26,"SMU","Southern Methodist","Conference USA",158
"327",75,1,84,"Big East","Louisville","LOU",23,32,"",14,26,"UK","Kentucky","Southeastern",77
"233",76,1,190,"Atlantic Coast","Virginia Tech","VT",15,20,"",17,26,"GT","Georgia Tech","Atlantic Coast",58
"556",77,2,31,"Big East","Cincinnati","CIN",26,34,"",10,26,"PITT","Pittsburgh","Big East",133
"748",78,2,185,"Western Athletic","Utah State","UTST",26,27,"",20,26,"UTAH","Utah","Pac-12",184
"813",79,2,3,"Southeastern","Alabama","BAMA",1,35,"",0,26,"WKU","Western Kentucky","Sun Belt",199
"542",80,2,8,"Pac-12","Arizona","ARI",26,59,"",38,18,"OKST","Oklahoma State","Big 12",129
"270",81,2,9,"Pac-12","Arizona State","ASU",26,45,"",14,26,"IL","Illinois","Big Ten",65
"387",82,2,11,"Sun Belt","Arkansas State","ARKST",26,33,"",28,26,"MEM","Memphis","Conference USA",90
"354",83,2,19,"Atlantic Coast","Boston College","BC",26,34,"",3,26,"MAINE","Maine","FCS",85
"261",84,2,20,"Mid-American","Bowling Green State","BG",26,21,"",13,26,"ID","Idaho","Western Athletic",63
"800",85,2,21,"Independent","Brigham Young","BYU",26,45,"",13,26,"WEBST","Weber State","FCS",195
"445",86,2,22,"Mid-American","Buffalo","BUF",26,56,"",34,26,"MORG","Morgan State","FCS",101
"649",87,2,24,"Pac-12","California","CAL",26,50,"",31,26,"SUTAH","Southern Utah","FCS",160
"75",88,2,33,"Atlantic Coast","Clemson","CLEM",12,52,"",27,26,"BALL","Ball State","Mid-American",15
"682",89,2,46,"Southeastern","Florida","UF",24,20,"@",17,26,"TAMU","Texas A&M","Southeastern",170
"14",90,2,49,"Sun Belt","Florida International","FIU",26,41,"",38,26,"AKRON","Akron","Mid-American",2
