"","game.id","week","team","points","results"
"796",796,14,"Kansas State",42,"W"
"1636",796,14,"Texas",24,"L"
"797",797,14,"Louisiana-Lafayette",35,"W"
"1637",797,14,"Florida Atlantic",21,"L"
"798",798,14,"Oklahoma",24,"W"
"1638",798,14,"Texas Christian",17,"L"
"799",799,14,"Oregon State",77,"W"
"1639",799,14,"Nicholls State",3,"L"
"800",800,14,"Pittsburgh",27,"W"
"1640",800,14,"South Florida",3,"L"
"801",801,14,"Texas State",66,"W"
"1641",801,14,"New Mexico State",28,"L"
"802",802,14,"Tulsa",33,"W"
"1642",802,14,"Central Florida",27,"L"
"803",803,14,"West Virginia",59,"W"
"1643",803,14,"Kansas",10,"L"
"804",804,14,"Wisconsin",70,"W"
"1644",804,14,"Nebraska",31,"L"
"805",805,15,"Navy",17,"W"
"1645",805,15,"Army",13,"L"
"806",806,16,"Arizona",49,"W"
"1646",806,16,"Nevada",48,"L"
"807",807,16,"Utah State",41,"W"
"1647",807,16,"Toledo",15,"L"
"808",808,17,"Brigham Young",23,"W"
"1648",808,17,"San Diego State",6,"L"
"809",809,17,"Central Florida",38,"W"
"1649",809,17,"Ball State",17,"L"
"810",810,17,"Boise State",28,"W"
"1650",810,17,"Washington",26,"L"
"811",811,17,"Louisiana-Lafayette",43,"W"
"1651",811,17,"East Carolina",34,"L"
"812",812,17,"Southern Methodist",43,"W"
"1652",812,17,"Fresno State",10,"L"
"813",813,18,"Central Michigan",24,"W"
"1653",813,18,"Western Kentucky",21,"L"
"814",814,18,"Baylor",49,"W"
"1654",814,18,"UCLA",26,"L"
"815",815,18,"Cincinnati",48,"W"
"1655",815,18,"Duke",34,"L"
"816",816,18,"San Jose State",29,"W"
"1656",816,18,"Bowling Green State",20,"L"
"817",817,18,"Ohio",45,"W"
"1657",817,18,"Louisiana-Monroe",14,"L"
"818",818,18,"Texas Tech",34,"W"
"1658",818,18,"Minnesota",31,"L"
"819",819,18,"Virginia Tech",13,"W"
"1659",819,18,"Rutgers",10,"L"
"820",820,18,"Arizona State",62,"W"
"1660",820,18,"Navy",28,"L"
"821",821,18,"Michigan State",17,"W"
"1661",821,18,"Texas Christian",16,"L"
"822",822,18,"Rice",33,"W"
"1662",822,18,"Air Force",14,"L"
"823",823,18,"Syracuse",38,"W"
"1663",823,18,"West Virginia",14,"L"
"824",824,18,"Texas",31,"W"
"1664",824,18,"Oregon State",27,"L"
"825",825,19,"Clemson",25,"W"
"1665",825,19,"Louisiana State",24,"L"
"826",826,19,"Georgia Tech",21,"W"
"1666",826,19,"Southern California",7,"L"
"827",827,19,"Tulsa",31,"W"
"1667",827,19,"Iowa State",17,"L"
"828",828,19,"Vanderbilt",38,"W"
"1668",828,19,"North Carolina State",24,"L"
"829",829,20,"Florida State",31,"W"
"1669",829,20,"Northern Illinois",10,"L"
"830",830,20,"Georgia",45,"W"
"1670",830,20,"Nebraska",31,"L"
"831",831,20,"Northwestern",34,"W"
"1671",831,20,"Mississippi State",20,"L"
"832",832,20,"Oklahoma State",58,"W"
"1672",832,20,"Purdue",14,"L"
"833",833,20,"South Carolina",33,"W"
"1673",833,20,"Michigan",28,"L"
"834",834,20,"Stanford",20,"W"
"1674",834,20,"Wisconsin",14,"L"
"835",835,20,"Louisville",33,"W"
"1675",835,20,"Florida",23,"L"
"836",836,20,"Oregon",35,"W"
"1676",836,20,"Kansas State",17,"L"
"837",837,20,"Texas A&M",41,"W"
"1677",837,20,"Oklahoma",13,"L"
"838",838,20,"Mississippi",38,"W"
"1678",838,20,"Pittsburgh",17,"L"
"839",839,20,"Arkansas State",17,"W"
"1679",839,20,"Kent State",13,"L"
"840",840,20,"Alabama",42,"W"
"1680",840,20,"Notre Dame",14,"L"
