"","game.id","week","outcome","abbrvs","conference","id","name","ptdiff","pts","rank"
"1",0,0,2,"LOU","Big East",84,"Lousiville",0,0,25
"2",0,0,2,"BST","Mountain West",18,"Boise State",0,0,24
"3",0,0,2,"UF","Southeastern",46,"Florida",0,0,23
"4",0,0,2,"KSU","Big 12",75,"Kansas State",0,0,22
"5",0,0,2,"STAN","Pac-12",161,"Stanford",0,0,21
"6",0,0,2,"TCU","Big 12",172,"Texas Christian",0,0,20
"7",0,0,2,"OKST","Big 12",129,"Oklahoma State",0,0,19
"8",0,0,2,"OSU","Big Ten",127,"Ohio State",0,0,18
"9",0,0,2,"NEB","Big Ten",104,"Nebraska",0,0,17
"10",0,0,2,"VT","Atlantic Coastal",190,"Virginia Tech",0,0,16
"11",0,0,2,"TEX","Big 12",169,"Texas",0,0,15
"12",0,0,2,"CLEM","Atlantic Coastal",33,"Clemson",0,0,14
"13",0,0,2,"MSU","Big Ten",94,"Michigan State",0,0,13
"14",0,0,2,"WIS","Big Ten",202,"Wisconsin",0,0,12
"15",0,0,2,"WV","Big 12",196,"West Virginia",0,0,11
"16",0,0,2,"ARK","Southeastern",10,"Arkansas",0,0,10
"17",0,0,2,"SC","Southeastern",148,"South Carolina",0,0,9
"18",0,0,2,"MICH","Big Ten",93,"Michigan",0,0,8
"19",0,0,2,"FSU","Atlantic Coastal",50,"Florida State",0,0,7
"20",0,0,2,"UGA","Southeastern",55,"Georgia",0,0,6
"21",0,0,2,"ORE","Pac-12",130,"Oregon",0,0,5
"22",0,0,2,"OU","Big 12",128,"Oklahoma",0,0,4
"23",0,0,2,"LSU","Southeastern",80,"Louisiana State",0,0,3
"24",0,0,2,"BAMA","Southeastern",3,"Alabama",0,0,2
"25",0,0,2,"USC","Pac-12",156,"Southern California",0,0,1
"26",1,1,0,"NOAZ","FCS",118,"Northern Arizona",-57,6,26
"27",1,1,1,"ASU","Pac-12",9,"Arizona State",57,63,26
"28",2,1,0,"EMU","Mid-American",43,"Eastern Michigan",-11,26,26
"29",2,1,1,"BALL","Mid-American",15,"Ball State",11,37,26
"30",3,1,0,"WSU","Pac-12",194,"Washington State",-24,6,26
"31",3,1,1,"BYU","Independent",21,"Brigham Young",24,30,26
"32",4,1,0,"AKRON","Mid-American",2,"Akron",-42,14,26
"33",4,1,1,"UCF","Conference USA",27,"Central Florida",42,56,26
"34",5,1,0,"SEMIZZ","FCS",153,"Southeast Missouri State",-11,27,26
"35",5,1,1,"CMU","Mid-American",28,"Central Michigan",11,38,26
"36",6,1,0,"UMASS","Mid-American",88,"Massachusetts",-37,0,26
"37",6,1,1,"UCONN","Big East",37,"Connecticut",37,37,26
"38",7,1,0,"ID","Western Athletic",63,"Idaho",-17,3,26
"39",7,1,1,"EWU","FCS",44,"Eastern Washington",17,20,26
"40",8,1,0,"TOW","FCS",179,"Towson",-20,21,26
"41",8,1,1,"KENT","Mid-American",76,"Kent State",20,41,26
"42",9,1,0,"MTSU","Sun Belt",95,"Middle Tennessee State",-6,21,26
"43",9,1,1,"MCNST","FCS",89,"McNeese State",6,27,26
"44",10,1,0,"UNLV","Mountain West",106,"Nevada-Las Vegas",-3,27,26
"45",10,1,1,"MINN","Big Ten",96,"Minnesota",3,30,26
"46",11,1,0,"SACRST","FCS",141,"Sacramento State",-30,19,26
