"","id","name","conference","abbrvs"
"138",138,"Rice","Conference USA","RICE"
"139",139,"Richmond","FCS","RICH"
"140",140,"Rutgers","Big East","RUT"
"141",141,"Sacramento State","FCS","SACRST"
"142",142,"Sam Houston State","FCS","SAMH"
"143",143,"Samford","FCS","SAMF"
"144",144,"San Diego State","Mountain West","SDSU"
"145",145,"San Jose State","Western Athletic","SJSU"
"146",146,"Savannah State","FCS","SAVST"
"147",147,"South Alabama","Sun Belt","SOBAMA"
"148",148,"South Carolina","Southeastern","SC"
"149",149,"South Carolina State","FCS","SCST"
"150",150,"South Dakota","FCS","USD"
"151",151,"South Dakota State","FCS","SDKSU"
"152",152,"South Florida","Big East","SFU"
"153",153,"Southeast Missouri State","FCS","SEMIZZ"
"154",154,"Southeastern Louisiana","FCS","SE LOU"
"155",155,"Southern","FCS","STHRN"
"156",156,"Southern California","Pac-12","USC"
"157",157,"Southern Illinois","FCS","SILLN"
"158",158,"Southern Methodist","Conference USA","SMU"
"159",159,"Southern Mississippi","Conference USA","SO MISS"
"160",160,"Southern Utah","FCS","SUTAH"
"161",161,"Stanford","Pac-12","STAN"
"162",162,"Stephen F. Austin","FCS","SFAUST"
"163",163,"Stony Brook","FCS","STBRK"
"164",164,"Syracuse","Big East","SYR"
"165",165,"Temple","Big East","TEM"
"166",166,"Tennessee","Southeastern","TEN"
"167",167,"Tennessee Tech","FCS","TENN TECH"
"168",168,"Tennessee-Martin","FCS","TNMT"
"169",169,"Texas","Big 12","TEX"
"170",170,"Texas A&M","Southeastern","TAMU"
"171",171,"Texas A&M-Commerce","Division II","T A&M-C"
"172",172,"Texas Christian","Big 12","TCU"
"173",173,"Texas Southern","FCS","TEXSTH"
"174",174,"Texas State","Western Athletic","TEXST"
"175",175,"Texas Tech","Big 12","TTU"
"176",176,"Texas-El Paso","Conference USA","UT-EP"
"177",177,"Texas-San Antonio","Western Athletic","UTSA"
"178",178,"Toledo","Mid-American","TOL"
"179",179,"Towson","FCS","TOW"
"180",180,"Troy","Sun Belt","TROY"
"181",181,"Tulane","Conference USA","TULA"
"182",182,"Tulsa","Conference USA","TULSA"
"183",183,"UCLA","Pac-12","UCLA"
"184",184,"Utah","Pac-12","UTAH"
"185",185,"Utah State","Western Athletic","UTST"
"186",186,"Vanderbilt","Southeastern","VAN"
"187",187,"Villanova","FCS","VILL"
"188",188,"Virginia","Atlantic Coast","UVA"
"189",189,"Virginia Military Institute","FCS","VMI"
"190",190,"Virginia Tech","Atlantic Coast","VT"
"191",191,"Wagner","FCS","WAG"
"192",192,"Wake Forest","Atlantic Coast","WAKE"
"193",193,"Washington","Pac-12","WASH"
"194",194,"Washington State","Pac-12","WSU"
"195",195,"Weber State","FCS","WEBST"
"196",196,"West Virginia","Big 12","WV"
"197",197,"Western Carolina","FCS","WCU"
"198",198,"Western Illinois","FCS","W ILLN"
"199",199,"Western Kentucky","Sun Belt","WKU"
"200",200,"Western Michigan","Mid-American","WMU"
"201",201,"William & Mary","FCS","W&M"
"202",202,"Wisconsin","Big Ten","WIS"
"203",203,"Wofford","FCS","WOFF"
"204",204,"Wyoming","Mountain West","WYO"
"205",205,"Youngstown State","FCS","YST"
